Molecule ChEMBL ID,Standard Value,Smiles
CHEMBL203047,2.0,CN1CCc2ccccc2Cc2cc(O)c(Cl)cc2CC1
CHEMBL69571,62.9,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2
CHEMBL140099,3100.0,N#Cc1ccc2[nH]c(CN3CCN(c4ccccc4)CC3)cc2c1
CHEMBL198174,5900.0,CCCN(CCC)C1CCn2ncc(C=O)c2C1
CHEMBL38656,1360.0,CCCN(CCC)C1COc2c(cccc2C(=O)c2ccoc2)C1
CHEMBL425190,3162.28,Cc1ccc2c(OCCN3CCN(Cc4cccc5cccnc45)CC3)cccc2n1
CHEMBL71838,241.0,CNC(=O)c1ccc2c(c1)CCO[C@H]2CCN1CCN(c2ccc(OC)cc2)CC1
CHEMBL180060,35.4,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(I)cc1
CHEMBL244086,251.19,Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cccs4)n2C)CC3)no1
CHEMBL110063,1500.0,COC(=O)c1ccc(Nc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1
CHEMBL111054,67.0,COC(=O)c1ccc(/C=C/c2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1
CHEMBL210551,530.0,COc1ccccc1N1CCN(Cc2cn3cc(C)cc(-n4cccn4)c3n2)CC1
