Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL201170,0.39,CN1CCc2ccccc2Cc2ccc(O)cc2CC1,Scientific Literature,Displacement of [3H]SCH 23390 from D1 dopamine receptor,B,Homo sapiens,,J Med Chem,2006.0,Dopamine D1 receptor,Ki,nM,9.41,267.37,3.01
CHEMBL245764,2.0,COc1ccc2c(c1)c1c(n2C)Cc2ccccc2CCN(C)CC1,Scientific Literature,Displacement of [3H]SCH 23390 from human cloned dopamine D1 receptor expressed in HEK 293 cells,B,Homo sapiens,,Bioorg Med Chem Lett,2007.0,Dopamine D1 receptor,Ki,nM,8.7,334.46,3.81
CHEMBL441618,1.9,CN1CCc2ccccc2Cc2[nH]c3ccccc3c2CC1,Scientific Literature,Displacement of [3H]SCH 23390 from human cloned dopamine D1 receptor expressed in HEK 293 cells,B,Homo sapiens,,Bioorg Med Chem Lett,2007.0,Dopamine D1 receptor,Ki,nM,8.72,290.41,3.79
CHEMBL2420895,10000.0,Clc1cccc(N2CCN(Cc3c[nH]c4ccccc34)CC2)c1Cl,Scientific Literature,Displacement of [3H]SCH23390 from human dopamine D1 receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2013.0,Dopamine D1 receptor,Ki,nM,,360.29,4.8
CHEMBL4863832,10000.0,COc1ccc(F)cc1[C@H]1C[C@@H]1CNCCCOc1ccc2ccc(=O)[nH]c2c1,Scientific Literature,Displacement of [3H]-SCH23390 from D1 receptor (unknown origin) expressed in HEK293T cell membranes measured after 2 hrs by microbeta scintillation counting method,B,Homo sapiens,,J Med Chem,2021.0,Dopamine D1 receptor,Ki,nM,,396.46,3.84
CHEMBL24077,56.0,Oc1cc2c(cc1O)[C@@H](c1ccccc1)CNCC2,Scientific Literature,Binding affinity against cloned human Dopamine receptor D1 using [125I]-SCH 23982 as radioligand transfected in HEK cells,B,,,J Med Chem,1995.0,Dopamine D1 receptor,Ki,nM,7.25,255.32,2.38
CHEMBL71,96.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,Scientific Literature,Displacement of [3H]SCH23390 from human dopamine D1 receptor expressed in HEK cells,B,Homo sapiens,,Bioorg Med Chem Lett,2009.0,Dopamine D1 receptor,Ki,nM,7.02,318.87,4.89
CHEMBL4098803,1100.0,COc1ccccc1N1CCN(CCCCOc2ccc3ccnn3c2)CC1,Scientific Literature,Displacement of [3H]SCH23390 from human Dopamine D1 receptor expressed in HEK293T cell membranes after 2 hrs by scintillation counting analysis,B,Homo sapiens,,J Med Chem,2017.0,Dopamine D1 receptor,Ki,nM,5.96,380.49,3.32
CHEMBL212077,12.0,CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3ccc(Cl)c(Cl)c3)c3ccccc32)CC1,Scientific Literature,Displacement of [3H]SCH 23390 from human dopamine D1 receptor expressed in CHO cells,B,Homo sapiens,,Bioorg Med Chem Lett,2006.0,Dopamine D1 receptor,Ki,nM,7.92,514.84,5.77
CHEMBL213084,4.0,CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3cccc(Cl)c3)c3ccccc32)CC1,Scientific Literature,Displacement of [3H]SCH 23390 from human dopamine D1 receptor expressed in CHO cells,B,Homo sapiens,,Bioorg Med Chem Lett,2006.0,Dopamine D1 receptor,Ki,nM,8.4,480.4,5.12
